Tippytea Cia Ltda,,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen de Existencias,Planta /  /  / /,,,,,,,,,,,,
Desde:,1/2/2026,Hasta:,2/2/2026,,,,,,,,,,
Fecha de Emisión: ,2026/02/02 10:57:25,,,,,,,,,,,,
Codigo,Nombre,Unidad, Inicial , Ingreso , Salida , Saldo Mes , Conteo ( Amy) , Conteo ( Vale ) , Condeo ( Fabian  ) , Condeo ( Andres ) , Conteo 02-02-2026 , Diferencia  ,Observacion
001-001-00060,Pera En Cubo Arbori,gr,"  1.191.000,00 ",  -   ,  -   ,"  1.191.000,00 ","  1.185,00 ",  -   ,  -   ,  -   ,"  1.185,00 ","  1.189.815,00 ",FALTANTE
001-001-00061,Remolacha En Polvo Dona Janna,gr,"  1.200,00 ",  -   ,  -   ,"  1.200,00 ","  1.185,00 ",  -   ,  -   ,  -   ,"  1.185,00 ","  15,00 ",FALTANTE
001-001-00062,Amaranto Cahuasqui,gr,"  4.762,00 ",  -   ,"  3.005,00 ","  1.757,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  1.757,00 ",FALTANTE
001-001-00063,Frambuesa En Polvo Florarom,gr,"  100,00 ",  -   ,"  100,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00064,Mandarina En Polvo Florarom,gr,"  100,00 ","  12.000,00 ","  10.676,00 ","  1.424,00 ","  1.461,00 ",  -   ,  -   ,  -   ,"  1.461,00 ","  -37,00 ",SOBRANTE
001-001-00065,Toronja En Polvo Florarom,gr,"  100,00 ","  12.000,00 ","  12.029,00 ","  71,00 ","  136,00 ",  -   ,  -   ,  -   ,"  136,00 ","  -65,00 ",SOBRANTE
001-001-00066,Naranja En Rodaja Arbori,gr,"  5.850,00 ",  -   ,"  966,00 ","  4.884,00 ","  1.641,00 ","  2.000,00 ",  -   ,  -   ,"  3.641,00 ","  1.243,00 ",FALTANTE
001-001-00067,Glucosa Harvesting,gr,"  124.980,00 ",  -   ,"  124.980,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00068,Lata Para Matcha Colores 10gr,uni,"  200,00 ","  1,00 ","  73,00 ","  128,00 ",  -   ,  -   ,"  109,00 ",  -   ,"  109,00 ","  19,00 ",FALTANTE
001-001-00069,Isomalt,gr,"  1.000,00 ",  -   ,  -   ,"  1.000,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  1.000,00 ",FALTANTE
001-001-00070,Matcha Ujinoko Importado,gr,  -   ,"  1.000,00 ","  230,00 ","  770,00 ","  786,00 ",  -   ,  -   ,  -   ,"  786,00 ","  -16,00 ",SOBRANTE
001-001-00071,Matcha Wakamurasaki Importado,gr,  -   ,"  1.000,00 ","  230,00 ","  770,00 ","  800,00 ",  -   ,  -   ,  -   ,"  800,00 ","  -30,00 ",SOBRANTE
001-001-00072,"Matcha Samidori 1,0 Importado",gr,  -   ,"  200,00 ","  200,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00073,"Matcha Okumidori 1,0 Importado",gr,  -   ,"  200,00 ","  200,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
