Tippytea Cia Ltda,,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen de Existencias,Planta /  /  / /,,,,,,,,,,,,
Desde:,1/2/2026,Hasta:,2/2/2026,,,,,,,,,,
Fecha de Emisión: ,2026/02/02 10:57:25,,,,,,,,,,,,
Codigo,Nombre,Unidad, Inicial , Ingreso , Salida , Saldo Mes , Conteo ( Amy) , Conteo ( Vale ) , Condeo ( Fabian  ) , Condeo ( Andres ) , Conteo 02-02-2026 , Diferencia  ,Observacion
003-021-00158,Piramides Moon Cycle,uni,"  15,00 ",  -   ,  -   ,"  15,00 ",  -   ,  -   ,"  22,00 ",  -   ,"  22,00 ","  -7,00 ",SOBRANTE
003-021-00159,Piramides Divine Detox,uni,"  5,00 ",  -   ,  -   ,"  5,00 ",  -   ,  -   ,"  5,00 ",  -   ,"  5,00 ",  -   ,SIN DIFERENCIA
003-021-00160,Piramides Digestive Blend,uni,"  117,00 ",  -   ,  -   ,"  117,00 ",  -   ,  -   ,"  122,00 ",  -   ,"  122,00 ","  -5,00 ",SOBRANTE
003-021-00161,Piramides Delta Nigth,uni,"  8,00 ","  30,00 ","  30,00 ","  8,00 ",  -   ,  -   ,"  8,00 ",  -   ,"  8,00 ",  -   ,SIN DIFERENCIA
003-021-00162,Piramides Sachet Te Negro Kfc,uni,"  85,00 ",  -   ,  -   ,"  85,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  85,00 ",FALTANTE
003-021-00163,Piramides Cosmic Blends,uni,"  17,00 ","  225,00 ","  225,00 ","  17,00 ",  -   ,  -   ,"  17,00 ",  -   ,"  17,00 ",  -   ,SIN DIFERENCIA
003-021-00164,Piramides Pumkin Spice,uni,"  65,00 ",  -   ,  -   ,"  65,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  65,00 ",FALTANTE
003-021-00165,Piramides Colada Morada,uni,  -   ,"  25,00 ",  -   ,"  25,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  25,00 ",FALTANTE
003-021-00166,Piramides Legacy,uni,"  285,00 ",  -   ,  -   ,"  285,00 ",  -   ,  -   ,"  30,00 ",  -   ,"  30,00 ","  255,00 ",FALTANTE
003-021-00167,Piramides Menta Sandia,uni,"  123,00 ","  80,00 ","  80,00 ","  123,00 ",  -   ,  -   ,"  184,00 ",  -   ,"  184,00 ","  -61,00 ",SOBRANTE
003-021-00168,Piramides Turucucho,uni,"  4,00 ",  -   ,  -   ,"  4,00 ",  -   ,  -   ,  -   ,"  4,00 ","  4,00 ",  -   ,SIN DIFERENCIA
003-021-00169,Piramides Puer Caramelo,uni,"  1,00 ","  15,00 ","  15,00 ","  1,00 ",  -   ,  -   ,"  1,00 ",  -   ,"  1,00 ",  -   ,SIN DIFERENCIA
003-021-00171,Piramides Citrus Zen,uni,"  10,00 ",  -   ,  -   ,"  10,00 ",  -   ,  -   ,"  9,00 ",  -   ,"  9,00 ","  1,00 ",FALTANTE
003-021-00172,Piramides Caramel Dragon,uni,"  9,00 ","  5,00 ","  5,00 ","  9,00 ",  -   ,  -   ,"  4,00 ",  -   ,"  4,00 ","  5,00 ",FALTANTE
003-021-00173,Piramides Sachet Anis Y Oregano Lucia,uni,"  25,00 ","  50,00 ","  75,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00174,Piramides Butterfly Floral,uni,"  4,00 ",  -   ,  -   ,"  4,00 ",  -   ,  -   ,"  9,00 ",  -   ,"  9,00 ","  -5,00 ",SOBRANTE
003-021-00175,Lata Colaboracion  Quitu,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00176,Sachets Manzanilla Y Miel,uni,  -   ,"  23,00 ","  23,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00177,Sachets Strawberry Green Tea,uni,  -   ,"  136,00 ","  136,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00178,Sachets Hierbaluisa,uni,  -   ,"  29,00 ","  29,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00179,Sachets Berry Berry,uni,  -   ,"  294,00 ","  286,00 ","  8,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  8,00 ",FALTANTE
003-021-00180,Sachets Anis,uni,  -   ,"  25,00 ","  25,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00181,Sachets Menta,uni,  -   ,"  48,00 ","  46,00 ","  2,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  2,00 ",FALTANTE
003-021-00182,Sachets Cedron,uni,"  62,00 ","  213,00 ","  225,00 ","  50,00 ",  -   ,  -   ,  -   ,"  20,00 ","  20,00 ","  30,00 ",FALTANTE
003-021-00183,Sachets Manzanilla,uni,  -   ,"  208,00 ","  183,00 ","  25,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  25,00 ",FALTANTE
003-021-00184,Sachets Chamomile Lavander Y Roses,uni,  -   ,"  224,00 ","  194,00 ","  30,00 ",  -   ,  -   ,  -   ,"  88,00 ","  88,00 ","  -58,00 ",SOBRANTE
003-021-00185,Sachets Earl Grey,uni,  -   ,"  70,00 ","  70,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00186,Sachets Guayusa,uni,"  190,00 ","  13,00 ","  31,00 ","  172,00 ",  -   ,  -   ,  -   ,"  144,00 ","  144,00 ","  28,00 ",FALTANTE
003-021-00187,Sachet Lemon Ginger L,uni,  -   ,"  228,00 ","  253,00 ","  -25,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -25,00 ",SOBRANTE
003-021-00188,Sachet Te Verde,uni,  -   ,"  53,00 ","  53,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00189,Sachet Toronjil,uni,  -   ,"  54,00 ","  54,00 ",  -   ,  -   ,  -   ,"  11,00 ",  -   ,"  11,00 ","  -11,00 ",SOBRANTE
003-021-00190,Sachet Hierbabuena,uni,  -   ,"  58,00 ","  58,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00191,Muestras Tisanas Frutos Rojos,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00192,Muestras Sachet Strawberry Green Tea,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00193,Muestras Sachet Earl Grey,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00194,Muestras Sachet Chamomile Lavender & Roses,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00195,Muestras Sachet Lemon Ginger,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00196,Muestras Sachet Berry Berry,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00197,Muestras Sachet Flores De Manzanilla,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00198,Muestras Sachet Guayusa,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00199,Muestras Sachet Menta,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00200,Muestras Sachet Hierbaluisa,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00201,Muestras Sachet Cedron,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00202,Muestras Sachet Manzanilla Y Miel,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00203,Muestras Sachet Toronjil,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00204,Muestras Sachet Hierbabuena,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00205,Muestras Sachet Anis,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00206,Muestras Sachet Green Tea,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00207,Muestras Tisanas Pina,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00208,Piramide Vainilla Chai,uni,"  13,00 ","  5,00 ","  5,00 ","  13,00 ",  -   ,  -   ,"  33,00 ",  -   ,"  33,00 ","  -20,00 ",SOBRANTE
003-021-00210,Piramide Caramelo Supreme,uni,"  24,00 ",  -   ,  -   ,"  24,00 ",  -   ,  -   ,  -   ,"  7,00 ","  7,00 ","  17,00 ",FALTANTE
003-021-00212,Piramides Atix Blend,uni,"  102,00 ",  -   ,  -   ,"  102,00 ",  -   ,  -   ,  -   ,"  102,00 ","  102,00 ",  -   ,SIN DIFERENCIA
003-021-00213,Piramides Mate Guayusa,uni,"  29,00 ",  -   ,  -   ,"  29,00 ",  -   ,  -   ,"  37,00 ",  -   ,"  37,00 ","  -8,00 ",SOBRANTE
003-021-00215,Piramides Nuema Costa,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  19,00 ","  19,00 ","  -19,00 ",SOBRANTE
003-021-00216,Piramides Urko Blend,uni,"  205,00 ",  -   ,  -   ,"  205,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  205,00 ",FALTANTE
003-021-00219,Piramides Quitu Andes,uni,"  18,00 ","  25,00 ","  25,00 ","  18,00 ",  -   ,  -   ,"  18,00 ",  -   ,"  18,00 ",  -   ,SIN DIFERENCIA
003-021-00220,Piramides Quitu Amazonia,uni,"  16,00 ","  25,00 ","  25,00 ","  16,00 ",  -   ,  -   ,"  20,00 ",  -   ,"  20,00 ","  -4,00 ",SOBRANTE
003-021-00221,Piramides Quitu Archipielago,uni,  -   ,"  20,00 ","  20,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00222,Piramide Quitu Bosque Nubaldo,uni,  -   ,"  25,00 ","  25,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00223,Piramides Quitu Paramo,uni,"  48,00 ","  25,00 ","  25,00 ","  48,00 ",  -   ,  -   ,"  38,00 ",  -   ,"  38,00 ","  10,00 ",FALTANTE
003-021-00224,Piramides Quitu Linea Ecuatorial,uni,"  66,00 ",  -   ,  -   ,"  66,00 ",  -   ,  -   ,  -   ,"  70,00 ","  70,00 ","  -4,00 ",SOBRANTE
003-021-00225,Piramides Holiday Blend 10 Años,uni,"  43,00 ",  -   ,  -   ,"  43,00 ",  -   ,  -   ,"  43,00 ",  -   ,"  43,00 ",  -   ,SIN DIFERENCIA
003-021-00226,Piramides Black Blueberry,uni,"  5,00 ",  -   ,  -   ,"  5,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  5,00 ",FALTANTE
003-021-00228,Piramides Blend 3500,uni,"  68,00 ",  -   ,  -   ,"  68,00 ",  -   ,  -   ,"  58,00 ",  -   ,"  58,00 ","  10,00 ",FALTANTE
003-021-00229,Piramide Orange Jamaica,uni,"  3,00 ","  30,00 ","  30,00 ","  3,00 ",  -   ,  -   ,"  17,00 ",  -   ,"  17,00 ","  -14,00 ",SOBRANTE
003-021-00231,Piramide Nuema Amazonia,uni,"  53,00 ",  -   ,  -   ,"  53,00 ",  -   ,  -   ,  -   ,"  75,00 ","  75,00 ","  -22,00 ",SOBRANTE
003-021-00232,Piramide Kriollo Oriente Especiado,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00233,Piramide Ikaro Encanto Frutal,uni,"  42,00 ",  -   ,  -   ,"  42,00 ",  -   ,  -   ,"  42,00 ",  -   ,"  42,00 ",  -   ,SIN DIFERENCIA
003-021-00235,Sachet Green Tea,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00236,Piramides Blends De La Madre,uni,"  106,00 ",  -   ,  -   ,"  106,00 ",  -   ,  -   ,"  90,00 ","  16,00 ","  106,00 ",  -   ,SIN DIFERENCIA
003-021-00237,Lata X10 Piramides Blend Boda Vic Y Jose,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00238,Piramides Sachet Earl Grey,uni,"  71,00 ","  300,00 ","  360,00 ","  11,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  11,00 ",FALTANTE
003-021-00239,Piramides Sachet Green Tea,uni,"  183,00 ",  -   ,"  4,00 ","  179,00 ",  -   ,  -   ,"  92,00 ",  -   ,"  92,00 ","  87,00 ",FALTANTE
003-021-00240,Piramides Sachet Casablanca,uni,"  9,00 ",  -   ,  -   ,"  9,00 ",  -   ,  -   ,"  6,00 ",  -   ,"  6,00 ","  3,00 ",FALTANTE
003-021-00241,Piramides Sachet Lemon Ginger,uni,"  270,00 ","  250,00 ","  183,00 ","  337,00 ",  -   ,  -   ,"  45,00 ",  -   ,"  45,00 ","  292,00 ",FALTANTE
003-021-00242,Piramides Sachet Chamomile,uni,"  190,00 ","  400,00 ","  366,00 ","  224,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  224,00 ",FALTANTE
003-021-00243,Piramides Sachet Berry Berry,uni,"  192,00 ","  450,00 ","  350,00 ","  292,00 ",  -   ,  -   ,  -   ,"  79,00 ","  79,00 ","  213,00 ",FALTANTE
003-021-00244,Piramides Sachet Bingoblueberry,uni,"  3,00 ",  -   ,  -   ,"  3,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  3,00 ",FALTANTE
003-021-00245,Piramides Sachet Black Peach,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00246,Piramide Sachet Cedron,uni,"  31,00 ","  509,00 ","  540,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00247,Piramides Sachet Cherry Rose,uni,"  151,00 ",  -   ,  -   ,"  151,00 ",  -   ,  -   ,"  246,00 ",  -   ,"  246,00 ","  -95,00 ",SOBRANTE
003-021-00249,Piramides Sachet Cranberry Apple,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00250,Piramides Sachet Divine Tea,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00251,Piramides Sachet Oolong,uni,"  6,00 ",  -   ,  -   ,"  6,00 ",  -   ,  -   ,"  5,00 ",  -   ,"  5,00 ","  1,00 ",FALTANTE
003-021-00252,Piramides Sachet Guayusa,uni,"  5,00 ",  -   ,  -   ,"  5,00 ",  -   ,  -   ,"  1,00 ",  -   ,"  1,00 ","  4,00 ",FALTANTE
003-021-00253,Piramides Sachet Hawaiian Colada,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00254,Piramides Sachet Manzanilla,uni,"  156,00 ","  1.238,00 ","  1.394,00 ",  -   ,  -   ,  -   ,  -   ,"  27,00 ","  27,00 ","  -27,00 ",SOBRANTE
003-021-00255,Piramides Sachet Menta,uni,"  71,00 ","  473,00 ","  491,00 ","  53,00 ",  -   ,  -   ,  -   ,"  1,00 ","  1,00 ","  52,00 ",FALTANTE
003-021-00256,Piramides Sachet Anis,uni,"  108,00 ","  467,00 ","  575,00 ",  -   ,  -   ,  -   ,  -   ,"  59,00 ","  59,00 ","  -59,00 ",SOBRANTE
003-021-00257,Piramides Sachet Toronjil,uni,"  17,00 ","  154,00 ","  171,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00258,Piramides Sachet Tilo Lemon,gr,"  1,00 ",  -   ,  -   ,"  1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  1,00 ",FALTANTE
003-021-00261,Piramides Sachet Black Mango,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00269,Piramides Sachet Cotton Candy,uni,"  21,00 ",  -   ,  -   ,"  21,00 ",  -   ,  -   ,"  21,00 ",  -   ,"  21,00 ",  -   ,SIN DIFERENCIA
003-021-00270,Piramide Sachet Green Jade,uni,"  7,00 ",  -   ,  -   ,"  7,00 ",  -   ,  -   ,"  11,00 ",  -   ,"  11,00 ","  -4,00 ",SOBRANTE
003-021-00277,Piramides Sachet Orange Blosson,uni,"  40,00 ",  -   ,  -   ,"  40,00 ",  -   ,  -   ,"  40,00 ",  -   ,"  40,00 ",  -   ,SIN DIFERENCIA
003-021-00285,Piramides Sachet Butterfly Pea,uni,"  38,00 ",  -   ,  -   ,"  38,00 ",  -   ,  -   ,"  129,00 ",  -   ,"  129,00 ","  -91,00 ",SOBRANTE
003-021-00288,Piramides Sachet Digestive Blend,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00291,Piramides Sachet Colada Morada,uni,  -   ,  -   ,"  25,00 ","  -25,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -25,00 ",SOBRANTE
003-021-00298,Piramides Sachet Butterfly Floral,uni,  -   ,"  400,00 ","  400,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00299,Piramides Sachet Vainilla Chai,uni,"  30,00 ",  -   ,  -   ,"  30,00 ",  -   ,  -   ,"  29,00 ",  -   ,"  29,00 ","  1,00 ",FALTANTE
003-021-00302,Piramides Sachet Orange Jamaica,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00306,Piramides Sachet Te Negro Granada,uni,"  37,00 ","  100,00 ","  75,00 ","  62,00 ",  -   ,  -   ,"  37,00 ",  -   ,"  37,00 ","  25,00 ",FALTANTE
003-021-00311,Piramides Sachet Lavander Mint,uni,"  2,00 ",  -   ,  -   ,"  2,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  2,00 ",FALTANTE
003-021-00312,Piramide Sachet Ishpingo,uni,"  2,00 ",  -   ,"  200,00 ","  -198,00 ",  -   ,  -   ,"  14,00 ",  -   ,"  14,00 ","  -212,00 ",SOBRANTE
003-021-00313,Piramide Sachet Lavanda,uni,"  8,00 ",  -   ,  -   ,"  8,00 ",  -   ,  -   ,"  6,00 ",  -   ,"  6,00 ","  2,00 ",FALTANTE
003-021-00316,Sachet Lucky Mango,uni,  -   ,"  50,00 ","  50,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00317,Piramide Kriollo Selvatica,uni,"  29,00 ",  -   ,  -   ,"  29,00 ",  -   ,  -   ,"  29,00 ",  -   ,"  29,00 ",  -   ,SIN DIFERENCIA
003-021-00318,Piramide Manzanilla,uni,  -   ,"  125,00 ","  100,00 ","  25,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  25,00 ",FALTANTE
003-021-00319,Piramide Cedron Hierbaluisa,uni,"  37,00 ","  75,00 ","  24,00 ","  88,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  88,00 ",FALTANTE
003-021-00322,Piramides Pivoine Floral,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00323,Piramide Rooibos Banana,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  41,00 ","  41,00 ","  -41,00 ",SOBRANTE
003-021-00324,Piramide Nuema Episodio Costa 2,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00325,Pads Manzanilla Y Miel Fiorana,uni,"  100,00 ",  -   ,"  100,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00326,Pads Hierbabuena Fiorana,uni,"  100,00 ",  -   ,  -   ,"  100,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  100,00 ",FALTANTE
003-021-00327,Pads Hierbaluisa Fiorana,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-021-00335,Piramide Somos,uni,  -   ,"  500,00 ","  500,00 ",  -   ,  -   ,  -   ,  -   ,"  12,00 ","  12,00 ","  -12,00 ",SOBRANTE
003-022-00017,Tippytea Matcha Grado Culinario 50g,uni,"  -10,00 ","  20,75 ","  20,00 ","  -9,25 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -9,25 ",SOBRANTE
003-022-00019,Tippytea Tea Collection Lite 40g,uni,"  -10,00 ","  20,00 ","  10,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-022-001-00002,Caja (24 Unidades) Tippytea Relax X 10,uni,"  -5,00 ","  7,58 ",  -   ,"  2,58 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  2,58 ",FALTANTE
003-022-001-00003,Caja (24 Unidades ) Tippytea Lemon Ginger X10,uni,  -   ,"  10,00 ","  10,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-022-001-00004,Caja (24 Unidades) Tippytea Berry Berry X10,uni,  -   ,"  15,00 ","  15,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-022-001-00007,Caja (24 Unidades) Tippytea P/Pasar Relax 40g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-022-001-00008,Caja (24 Unidades) Tippytea P/Pasar Lemon 40 G,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-022-001-00009,Caja (24 Unidades) Tippytea Berry Berry P 55 G,uni,"  -10,00 ","  20,00 ","  20,00 ","  -10,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -10,00 ",SOBRANTE
003-022-001-00010,Caja (24 Unidades) Tippytea Flores De Manzanilla 20 Gr,uni,"  -10,00 ","  20,00 ","  30,00 ","  -20,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -20,00 ",SOBRANTE
003-022-001-00014,Caja (24 Unidades) Tippytea Hojas De Hierbabuena 20gr,uni,"  -10,00 ","  20,00 ","  30,00 ","  -20,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -20,00 ",SOBRANTE
003-022-002-00001,Caja (12 Unidades) Tippytea Bebida Jamaic 300 M,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-022-002-00002,Tippytea Bebida Te Rooibos 300 M,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-022-002-00003,Tippytea Bebida Hierbaluisa 300 M,uni,"  -5,00 ","  0,25 ","  30,00 ","  -34,75 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -34,75 ",SOBRANTE
003-022-002-00004,Tippytea Bebida De Rosas 300m,uni,  -   ,"  2,58 ","  10,00 ","  -7,42 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -7,42 ",SOBRANTE
003-023-00003,Te Soluble Dragon Fruit 150gr,uni,"  -1,00 ","  19,00 ","  20,00 ","  -2,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -2,00 ",SOBRANTE
003-023-001-00001,Bolsita Frutos Rojos Y Jamaica 3 Gr,uni,  -   ,"  100,00 ","  130,00 ","  -30,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -30,00 ",SOBRANTE
003-023-001-00002,Bolsita Gengibre Y Limon 3 Gr,uni,  -   ,"  40,00 ","  40,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-023-002-00001,Botella Infus Frutos Rojos Jamaica 1l, (4 Unidades), uni ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-023-002-00002,Botella Infus Gengibre Y Limon 1 Lt (4 Unidades),uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-024-00014,Te Surtido Piramide Tippytea 50g Cjx25bol,uni,  -   ,"  20,00 ","  20,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-024-00015,Te Jamaica Berries 360g Tippyte Cjx24bol,uni,  -   ,"  8,00 ","  8,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-024-00016,Te Jamaica Berries 150g Tippyte Cj24 Bol,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-024-00021,Bubble Tea Cereza 3.4kg Tippytea Cjx8gln,uni,  -   ,"  49,00 ","  49,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-024-00022,Bubble Tea Menta 3.4kg Tippytea Cjx8gln,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-024-00023,Te Butterfly Pea Tippytea Cj8bol(12un),uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-024-00024,Bubble Tea Mango 3.4kg Tippytea Cjx8gln,uni,  -   ,"  1,00 ","  1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-024-00025,Te Sandia Jamaica 960g Tippytea Cjx4bol,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-024-00027,Te Butterfly Pea 360g Tippy Cjx24bol (12u),uni,  -   ,"  1,00 ","  1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
